section,chainage,2021_event,1:100_AEP,1:200_AEP
1000,1,126.718,127.261,128.067
2000,1687,126.554,127.177,127.925
3000,3510,126.531,126.646,127.422
4000,5153,126.687,126.628,127.418
5000,6759,126.681,126.604,127.418
6000,8037,126.673,126.594,127.404
7000,9841,126.486,126.591,127.404
8000,10709,126.471,126.554,127.349
9000,11440,126.448,126.519,127.349
10000,12152,126.413,126.39,127.236
11000,12807,126.582,125.994,126.656
12000,13475,126.528,125.297,126.028
13000,14148,126.47,125,125.898
14000,14797,126.412,124.953,125.871
15000,15734,126.329,124.941,125.84
16000,16802,126.243,124.875,125.693
17000,17986,126.125,124.681,125.379
18000,18922,125.991,124.681,125.379
19000,19928,125.157,124.664,125.379
20000,21161,125.601,124.435,125.216
21000,22319,125.335,124.317,125.208
22000,23664,123.8,124.304,125.208
23000,24813,122.251,124.304,125.208
24000,26042,120.661,124.239,125.161
25000,27192,120.524,124.127,125.068
26000,28223,119.68,123.941,124.979
